,Hand
0,"['8♦', '5♣', 'J♣', 'A♥', '7♣']"
1,"['3♠', '10♦', 'J♣', '3♦', '2♣']"
2,"['10♦', '9♠', 'K♣', '9♣', '8♠']"
3,"['9♥', '10♠', 'Q♣', 'J♦', '4♣']"
4,"['A♦', '8♥', '6♥', '5♣', '2♥']"
5,"['5♠', '8♣', '6♦', '7♣', '3♥']"
6,"['4♦', '9♣', 'Q♦', '3♣', '8♠']"
7,"['8♠', '6♠', '7♠', '9♥', '9♠']"
8,"['A♣', 'A♦', '4♠', '7♠', 'Q♦']"
9,"['7♥', '8♥', '5♥', 'K♥', '3♥']"
10,"['J♠', 'K♠', '2♣', 'K♣', '2♦']"
11,"['Q♥', '9♣', 'J♠', '2♥', 'K♠']"
12,"['6♦', '8♣', '3♠', '9♦', 'K♥']"
13,"['2♠', '7♣', 'A♦', 'Q♣', 'Q♠']"
14,"['7♦', 'Q♣', '8♣', '3♣', '8♥']"
15,"['9♠', 'K♦', '3♥', '4♣', 'Q♦']"
16,"['J♥', '9♠', 'K♥', 'J♠', 'K♠']"
17,"['Q♣', '3♣', '7♦', 'J♠', 'J♦']"
18,"['9♠', '5♥', '4♦', '5♣', 'A♣']"
19,"['J♣', '7♥', 'Q♠', 'K♣', '4♠']"
20,"['6♠', '5♥', '5♣', '3♠', 'K♠']"
21,"['4♦', '2♣', 'Q♣', 'K♦', 'K♥']"
22,"['2♣', '3♣', '5♥', '3♥', '8♠']"
23,"['9♥', 'Q♦', '3♥', '5♣', '10♦']"
24,"['7♠', '8♣', '2♥', '8♦', '7♣']"
25,"['A♥', '8♦', '5♠', 'Q♣', '4♥']"
26,"['9♦', '6♦', 'J♣', '4♦', 'Q♥']"
27,"['K♦', '4♦', '8♦', '6♠', '8♣']"
28,"['A♦', '8♣', 'K♦', '6♣', '7♦']"
29,"['J♠', '9♥', '3♥', '6♦', '5♦']"
30,"['8♣', '4♦', '4♣', 'K♥', '5♠']"
31,"['3♥', '6♣', '8♦', '9♥', '5♦']"
32,"['5♥', '8♦', 'J♣', 'K♥', '3♣']"
33,"['Q♣', '6♠', '9♣', '3♣', '8♠']"
34,"['8♣', '2♥', 'J♦', '7♥', '8♦']"
35,"['8♥', '9♥', '7♥', '8♦', '6♦']"
36,"['6♦', '8♥', '10♣', 'Q♠', 'K♥']"
37,"['5♥', 'Q♥', '8♥', 'K♦', '10♦']"
